"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","gift_wrapping_available","price","special_price","weight","msrp","gift_wrapping_price","visibility","magesms_optout","tax_class_id","status","is_recurring","description","short_description","meta_keyword","custom_layout_update","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","website","_media_image","_media_lable","_media_position","_media_is_disabled","custom_design"
"admin","base","Default","simple","2,4,10,45","sscribagsgb136","0","SG Clubpak Bag With Trolley","","","","","","2","2.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","1499.0000","1305.0000","501.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>Contemporary looking junior trolley bag<br><br> Bigger size<br><br> External trolley puller<br><br> Heavy-duty wheels fitting for easy portability and balance<br><br> Heavy-Duty Nylon tapes with extra reinforcement<br><br>","","","No","2015-09-17 00:00:01","2019-09-14 00:00:01","2015-09-18 00:00:01","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG Clubpak Bag With Trolley","0","simple","","","","","","","",""
"admin","","","","","sscribagsgb136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/a/c/accessoriesbagimg.jpg","","1","0",""
"admin","base","Default","simple","2,4,10,45","sscrishosgb148","0","SG-CRICKET SHOE - PROLITE III MODEL - SIZE 10","","","","","","14","14.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","2299.0000","2001.0000","513.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>SG BRAND CRICKET SHOE / SIZE : 10 / COLOUR : ROYAL Blue / ORANGE New shoe that combines natural running feel with great looks / Toe made from high-tech abrasion-resistant materials / Premium Rubber out-sole for maximum traction / Full-grain PU upper for soft comfort / Moulded EVA in-sock for optimum comfort / Moulded heel counter for extra stability / Stability claws for quick cuts and fast footwork when moving laterally.<br><br>","","","No","2015-09-17 00:00:13","2019-09-14 00:00:13","2015-09-18 00:00:13","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG-CRICKET SHOE - PROLITE III MODEL - SIZE 10","0","simple","","","","","","","",""
"admin","","","","","sscrishosgb148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/a/c/accessoriesshoesimg.jpg","","1","0",""
"admin","base","Default","simple","2,4,10,45","sscrihelsgb157","0","SG Aero Player Cricket Helmet","","","","","","26","26.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","2499.0000","2175.0000","525.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>minutes, and choose One-Day Delivery at checkout. Details<br><br> High Impact resistant polymer outer shell<br><br> High density expandable polystyrene inner shell<br><br> High sweat absorption internal lining with spacer for airflow ventilation<br><br> Adjustable grill<br><br>","","","No","2015-09-17 00:00:25","2019-09-14 00:00:25","2015-09-18 00:00:25","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG Aero Player Cricket Helmet","0","simple","","","","","","","",""
"admin","","","","","sscrihelsgb157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/h/o/home_bed_bathimg.jpg","","1","0",""
"admin","base","Default","simple","2,4,10,45","sscribagsgb135","0","SG Monopak Cricket Bag","","","","","","1","1.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","1499.0000","1305.0000","500.0000","","","Not Visible Individually","1","None","Enabled","No","","","","No","2015-09-17 00:00:00","2019-09-14 00:00:00","2015-09-18 00:00:00","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG Monopak Cricket Bag","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscribagsgb137","0","Xtremepak","","","","","","3","3.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","1299.0000","1039.0000","502.0000","","","Not Visible Individually","1","None","Enabled","No","","","","No","2015-09-17 00:00:02","2019-09-14 00:00:02","2015-09-18 00:00:02","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","Xtremepak","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscribagsgb138","0","SG Unipak Kit Bag, 40X13x13","","","","","","4","4.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","1299.0000","1131.0000","503.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>CRICKET KIT BAG / BRAND : SG / MODEL : UNIPAK / COLOUR : Red (SUBJECT TO AVAILABILITY)","","","No","2015-09-17 00:00:03","2019-09-14 00:00:03","2015-09-18 00:00:03","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG Unipak Kit Bag, 40X13x13","0","simple","","","","","","","",""
"admin","base","Default","simple","2,4,10,45","sscribagsgb139","0","SG Combopak Kit Bag, 34X11x11","","","","","","5","5.html","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","No","1149.0000","999.0000","504.0000","","","Not Visible Individually","1","None","Enabled","No","<br><br>CRICKET KIT BAG / BRAND : SG / MODEL : COMBOPAK / COLOUR : Red (SUBJECT TO AVAILABILITY) / COMES WITH WHEEL","","","No","2015-09-17 00:00:04","2019-09-14 00:00:04","2015-09-18 00:00:04","","","","10.0000","0.0000","10","1","0","1","1.0000","1","0.0000","1","1","","0.0000","1","0","1","0","1","0.0000","1","0","0","0","1","SG Combopak Kit Bag, 34X11x11","0","simple","","","","","","","",""
